Year	Author Names	Conference
2012	พระสยามAggressiveFighting;Apple;Apple;บริษัท สวิส;ธปท.;อินชอน;กรีซ;สหภาพยุโรป;อียู;กรีซ;สหภาพยุโรป;กรีซ;บริษัทอีสต์ เอเชียติก;ประเทศไทย;อาเซียน;ธปท.;อาเซียน;AEC;แมสซาชูเซตส์;พรรครีพับลิกัน;ศูนย์พยากรณ์เศรษฐกิจและธุรกิจ;ม.หอการค้าไทย;สหภาพยุโรป;โฮจิมินห์ซิตี้;พระสยามEssential;กูเกิล;กูเกิล;กูเกิล;กูเกิล;กูเกิล;กูเกิล;พีซี;สยามสแควร์;แอพพลิเคชั่น;ซูเปอร์;ธุรกิจขนาดย่อม;สหภาพยุโรป;กองทุนการเงินระหว่างประเทศ;เอสแอนด์พี;สหภาพแรงงาน;พรรคประชาธิปไตย;องค์การเพื่อความร่วมมือทางเศรษฐกิจและการพัฒนา;OECD;OECD;OECD;อาเซียน	ORG
2013	พระสยาม1;ธนาคารพาณิชย์ไทย;ธนาคารแห่งประเทศไทย;อินโฟกราฟิกส์;สำนักยุทธศาสตร์และการวางแผนเศรษฐกิจมหภาค;สำนักงานคณะกรรมการพัฒนาการเศรษฐกิจและสังคมแห่งชาติ;กระทรวงกลาโหม;IMF;RockwellGlobal Capital;ธนาคารกลางสหรัฐฯ;FED;ก็ตามที;ซัมซุง;ฮุนได;ธนาคารแห่งประเทศไทย;ธปท.;ธปท.;ธปท.;SMEs;GDP;SMEs;สำนักงานสถิติแห่งชาติ;กรมการท่องเที่ยว;สำนักยุทธศาสตร์และการวางแผนเศรษฐกิจมหภาค;สำนักงานคณะกรรมการพัฒนาการเศรษฐกิจและสังคมแห่งชาติ;พระสยามFYIThe;ธปท.;ธปท.;Obama;กลุ่มคน Gen Y;ธปท.;ธปท.;สมเด็จพระเทพรัตนราชสุดาฯ สยามบรมราชกุมารี;โรงเรียนนายร้อยพระจุลจอมเกล้า;ธปท.;สถาบันการจัดการนานาชาติ;ซัมซุง;กองวิชาประวัติศาสตร์;โรงเรียนนายร้อยพระจุลจอมเกล้า;ธปท.;บริษัทมาสเตอร์การ์ด;มาสเตอร์การ์ด;อิสตันบูล;ดูไบ;ASIA-10;สภาอุตสาหกรรมแห่งประเทศไทย;ส.อ.ท.;องค์การการท่องเที่ยวโลก;UNWTO;สิงคโปร์;เอมิเรตส์;การบินไทย;บางกอกแอร์เวย์;แอร์เอเชีย;คาเธย์แปซิฟิก;กาตาร์แอร์เวย์”;เอทิฮัดแอร์เวย์”;กระทรวงโรงแรมและการท่องเที่ยวสสิเนสแอร์;ไทเกอร์แอร์;กระแสสังคม;Startup;The;มาดากัสการ์;สกอต;องค์การสหประชาชาติ;สหภาพยุโรป	ORG
2014	สปอร์ตส์;ทีมแมนเชสเตอร์ ยูไนเต็ด;สภาคองเกรส;คอสตาริกา;EME;สรอ.;สรอ.;สรอ.;องค์การเพื่อความร่วมมือทางเศรษฐกิจและการพัฒนา;OECD;Boutique Villas;The;กรุงรัตนโกสินทร์;สถาบันวิจัยประชากรและสังคม;ม.มหิดล;สถาบันวิจัยประชากรและสังคม;ม.มหิดล38;สำนักงานสถิติแห่งชาติ;กรมสุขภาพจิต;กระทรวงสาธารณสุข;กระทรวงสาธารณสุข;กรมส่งเสริมการส่งออก;กระทรวงพาณิชย์;ธนาคารเถื่อน;Guarantors;ธนาคารกลางจีน;PBOC;คณะกรรมการกำกับดูแลด้านธนาคารจีน;CBRC;WMPS;Trusts;WMPs;ธพ.;ธพ.;ธพ.;ธพ.;ธพ.;ธพ.;WMPs;WMPs;ธพ.;LDR;ธนาคารแห่งประเทศไทย	ORG
2016	สำนักงานภาคเหนือGuaugxiBAE;CLMV;ไทย;ธนาคารแห่งประเทศไทย;ธปท.;สหภาพเมียนมา;ธปท.;อาเซียน;ธนาคารพาณิชย์ไทย;ธปท.;สำนักงานภาคเหนือ สภน.;สหภาพเมียนมาเชียงใหม่;สหภาพเมียนมา;สหภาพ;สหภาพเมียนมา25	ORG
2017	ธปท.;คณะเศรษฐศาสตร์;มหาวิทยาลัยธรรมศาสตร์;ธนาคารแห่งประเทศไทย;ธปท.;SoftBank;สำนักงานภาคตะวันออกเฉียงเหนือ;Cambodia;Laos;เมียนมา;Vietnam;NAFTA;Workshop;สสป.ลาว;อาเซียน;สถาบันวิจัยเศรษฐกิจ;สหภาพยุโรป;สหภาพยุโรป;AACC;สหภาพยุโรป;สหภาพยุโรป;สหภาพยุโรป;Chaebol;พรรคอนุรักษ์นิยม;สภา;สหภาพยุโรป;บริษัท ปูนซิเมนต์ไทย จำกัด มหาชน;สถาบันวิจัยเพื่อการพัฒนาประเทศไทย;TDRI;สภานโยบายวิจัย;สำนักงานสถิติแห่งชาติ;คณะเศรษฐศาสตร์;มหาวิทยาลัยหอการค้าไทย;ธปท.;ธปท.;มหาวิทยาลัยเทคโนโลยีพระจอมเกล้าธนบุรี;องค์การสหประชาชาติ;KAYAK	ORG
2018	บริษัท Foxconn;Apple;แบงก์ชาติ;ธปท.;สำนักงานรัฐบาลอิเล็กทรอนิกส์;องค์การมหาชน;BREXIT;เมืองไทย;ธปท.;ธปท.;สำนักพิมพ์ openbooksสแกน;AgTech;FairtradeFoundation;AgTech;AgricultureTechnology;Uber;องค์การเพื่อความร่วมมือและการพัฒนาทางเศรษฐกิจ;OECD	ORG
2019	ธปท.;สภาหอการค้าแห่ง;สมาพันธ์เอสเอ็มอีไทย;บริษัทสหรัฐฯ;บริษัทสหรัฐฯ;WeChat;กองบรรรณาธิการอาร์ม;คณะนิติศาสตร์จุฬาลงกรณ์มหาวิทยาลัย;ศูนย์วิจัยยุทธศาสตร์ไทย;สำนักงานคณะกSSมการวิจัยแห่งชาติ;คณะนิติศาสตร์;ระเบียงเศรษฐกิจพิเศษภาคตะวันออก;ธีกร;ธนาคารแห่งประเทศไทย;ธปท.;ธปท.;ธปท.;ธปท.;ModernTrade;สำนักงานถนน;ธปท.;SMEs;SMEs;ธปท.;ธปท.;ธปท.;SMEs;บริษัท Strategy613 จำกัด;ธนาคารกสิกรไทย;ธนาคารกสิกรไทย;ธนาคารไอซีบีซี;มหาวิทยาลัยออกฟอร์ด;มหาวิทยาลัยเคมบริ;บริษัท Strategy613 จำกัด;INSPIRATION;มูลนิธิฉางอ้าย;องค์กรต่อต้านคอร์รัปชั่น;องค์กรต่อต้านคอร์รัปชัน;สำนักงานคณะกรรมการป้องกันและปราบปรามการทุจริตแห่งชาติ;ป.ป.ช.;มหาวิทยาลัยหอการค้าไทย;Global Corruption;SCB;องค์กรต่อต้านคอร์รัปชัน;SeaLimited;กระทรวงการคลัง;มหาวิทยาลัยฮาร์วาร์ด;ธนาคารเครดิตสวิส;สิงคโปร์;SeaLimited;เอเชีย;บริษัท Sea Limited42;ไทย;คณะเศรษฐศาสตร์;มหาวิทยาลัย28;กลุ่มป่าสาละBOT;บริษัทป่าสาละ จำกัด;คณะวิจัยแนวร่วมการเงินที่เป็นธรรมประเทศไทย;คุณสฤณีย์;สหประชาชาติ;กระทรวงการท่องเที่ยวและกีฬา;สำนักงานส่งเสริมการค้าในต่างประเทศ;สำนักงานนโยบายและแผนการwu;ธปท.;สำนักงานนโยบายและแผนการขนส่ง;ธปท.;อภิชญา;ธนาคารแห่งประเทศไทย;บริษัทไทย;พรรคธาดา;ธนาคารแห่งประเทศไทย;ไทย;Big Opportunityอ.;การแบ่งส่วนตลาดsegmentation;บริษัท Google Termasek;กองบรรรณาธิการแตช บุนนาค;กระทรวงการต่างประเทศ;กระทรวงการต่างประเทศ;กระทรวงการต่างประเทศ;ไทย;กองเอเชียตะวันออก;กระทรวงการต่างประเทศ;กระทรวงการต่างประเทศ;กระทรวงการต่างประเทศ	ORG
2020	ธปท.;ธปท.;ธปท.;ธนาคารแห่งประเทศไทย;ธปท.;ธปท.;ธปท.;ธปท.;ธปท.;สรอ.;ธปท.;สถานีโทรทัศน์Money Channel;ธปท.;ธปท.;องค์กรอนามัยโลก;ไทย;กรมควบคุมมลพิษ;กระทรวงทรัพยากรธรรมชาติและสิ่งแวดล้อม;กล่องโฟม;สมาคมผู้ค้าปลีกไทย;กระทรวงทรัพยากรธรรมชาติและสิ่งแวดล้อม;องค์การอนามัยโลก;องค์การอาหารและการเกษตรแห่งสหประชาชาติ;องค์การสหประชาชาติ;สำนักงานคณะกๆแต่มันสนุน;องค์การอาหารและการเกษตรแห่งสหประชาชาติ;ธนาคารโลก;สมาคมขนส่งทางอากาศระหว่างประเทศ;IATA;สรอ.;สภาอุตสาหกรรมท่องเที่ยวแห่งประเทศไทย;ข้อสมมติ;องค์การเพื่อความร่วมมือและการพัฒนาทางเศรษฐกิจ;OECD;กองทุนการเงินระหว่างประเทศ;IMF;สรอ.;WeChat;ธนาคารแห่งประเทศไทย;สหภาพยุโรป;สรอ.;โควิด 19;สรอ.;สหประชาชาติ;สรอ.;สหภาพยุโรป;สรอ.;สรอ.;สรอ.;สรอ.;สรอ.;องค์การอนามัยโลก;WHO;มหาวิทยาลัยจอห์น;ฮอปกินส์;สถานี TNN ช่อง 16;ช่อง NEW18;ธนาคารแห่งประเทศไทย;ธปท.;ปท.;ธปท.;สหภาพยุโรป;ธปท.;คณะกรรมการนโยบายการเงิน;กนง.;สถาบันการเงิน;สถานี TNN ช่อง 16;ตร.วิรไท;ธปท.;ศูนย์สร้างโอกาสเด็กพระราม;แบงก์ชาติ;สำนักงานเขตพระนคร;คลายทุกข์;สิงคโปร์;สำนักงานสถิติแห่งชาติ;ชั้นมัธยมศึกษา;คณะเศรษฐศาสตร์;มหาวิทยาลัยหอการค้าไทย;สหภาพยุโรป;สวีเดน;ภาควิชากุมารเวชศาสตร์;คณะแพทยศาสตร์;สถาบันวัคซีนแห่งชาติ;องค์การอนามัยโลก;สภากาชาดไทย;ภาควิชากุมารเวชศาสตร์;คณะแพทยศาสตร์;ภาควิชากุมารเวชศาสตร์;คณะแพทยศาสตร์;ศูนย์ฯ;แพลตฟอร์ม;Ooca;Penguin Eat Shabu;กระทรวงสาธารณสุข;ซูชิ;WORD;ซีไอเอ็มบี ไทย;ซูเปอร์มาร์เก็ต;ซูเปอร์มาร์เก็ต;องค์การการค้าโลก;กองทุนการเงินระหว่างประเทศ;International Monetary Fund:IMF;องค์กรการเงินระหว่างประเทศ;IMF;ธนาคารกลาง;ช่อง TNN16;ททบ.5;ธนาคารแห่งประเทศไทย;ธปท.;ธปท.;อุตสาหกรรมท่องเที่ยว;เศรษฐกิจไทย;TNN16;ททบ.;ธปท.;ธปท.;ธนาคารแห่งประเทศไทย;ธปท.;GDP;องค์การอนามัยโลก;กระทรวงสาธารณสุข;GDP;ธนาคารแห่งประเทศไทย;ทศพล;ธปท.;ดร.วิรไท;ประเทศไทย;การควบคุม;ธปท.;ธนาคารกลาง;ธปท.;ธปท.;ธปท.;ธปท.;กองทุนรวม;ธนาคารกลาง;ธนาคารกลาง;ธปท.;ธปท.;ธปท.;บริษัท บริหารสินทรัพย์สุขุมวิท จำกัด;SAM;คณะนิเทศศาสตร์;ช่อง TNN16;ททบ.;บุฟเฟต์;ร้านเพนกวิน อีท;ศูนย์การเรียนรู้ธนาคาร;ประกศไทย;ยพระเศรษฐกิจไทย;ธปท.;ธนาคารแห่งประเทศไทย;ธปท.;SME;ธนาคารแห่งประเทศไทย;กรุงศรี;CEO;บริษัท Transformational;บริษัท SCG Cement-Building Materials;สถานีโทรทัศน์ TNN ช่อง 16;บริษัท SCG Cement-BuildingMaterials;กรุงศรี;CEO;บริษัท Iransformational;TechCompany;INSPIRATION;ธนาคารไทยพาณิชย์;Facebook;Googleคุณธนา เธียรอัจฉริยะChief Marketing;ธนาคารไทยพาณิชย์;สามพรานโมเดล;สวนสามพราน;สวนสามพราน;สามพรานโมเดล;ZAAP PARTY;แพลตฟอร์มไทย;สถาบันการฝึกอบรมการ;ธปท.;กระทรวงแรงงาน;อว.;กระทรวงแรงงานไทย;ธนาคารแห่งประเทศไทย;กระทรวงแรงงาน;สำนักงานสภานโยบายการอุดมศึกษา;โอฬารธนาเศรษฐ์;ธนาคารแห่งประเทศไทยอาวีวรรณ;ธนาคารแห่งประเทศไทย;ธนาคารแห่งประเทศไทย;เศรษฐพุฒิ;ธุรกิจท่องเที่ยว;GDP;ธปท.;เศรษฐพุฒิ;เศรษฐพุฒิ;ธนาคารแห่งประเทศไทย;ธปท.;ธปท.;ธปท.;ธปท.;องค์กรปกครองส่วนท้องถิ่น;สภาลมหายใจเชียงใหม่;มหาวิทยาลัยเชียงใหม่;มหาวิทยาลัยเชียงใหม่;กรมอุทยานแห่งชาติ สัตว์ป่า;ไทย;ธนาคารแห่งประเทศไทย;ธปท.;สำนักงานพัฒนารัฐบาลดิจิทัล;องค์การมหาชน;สพร.;สถาบันคุณวุฒิวิชาชีพ;ธปท.;กระทรวงแรงงานไทย;กระทรวงการอุดมศึกษา วิทยาศาสตร์ วิจัยและนวัตกรรม	ORG
2021	SMEs;ธนาคารแห่งประเทศไทย;ธปท.;ธปท.;Lazada;Shopee;อาเซียน;อาเซียน;BRI;ดร.ปิติ;อาเซียน;กองทุนการเงินระหว่างประเทศ;IMF;องค์การอาหารและยาของสหรัฐอเมริกา;FDA;บริษัทไฟเซอร์ - ไบออนเทค;Pfizer-BioNTechและโมเดอร์นา;อ็อกซ์ฟอร์ด;CU Innovation Hub2564;บริษัท สยาม;องค์การเภสัชกรรม;บริษัท คินเจน;คณะเภสัชศาสตร์;บริษัทไฟเซอร์พัฒนา;บริษัท ใบยา ไฟโตฟาร์ม จำกัด;บริษัท ใบยา ไฟโตฟาร์ม วัคซีนป้องกันโควิด 19;ความหวังจำกัด;คณะเภสัชศาสตร์;บริษัท ซิโนแวค;การควบคุม;บริษัท แอสตราเซเนกา;กระทรวงสาธารณสุข;โควิด 19;ธปท.;อุตสาหกรรมและการค้าไทยบน 4;อาเซียน;รัฐสภา;ศูนย์เศรษฐกิจระหว่างประเทศ;คณะเศรษฐศาสตร์;ธนาคารโลก;กองทุนการเงิน;IMF;ธนาคารพัฒนาเอเชีย;สหภาพยุโรป;อาเซียน;First;สหภาพยุโรปไทย;สมาคมการค้า;สหภาพเศรษฐกิจยูเรเซีย;อาเซียน;ตุรกีไทย;ปากีสถานไทย;ศรีลังกาไทย;สมาคมธนาคารไทยDigitalization;ธนาคารกรุงไทย;สมาคมธนาคารไทย คนที่ 24;สมาคมธนาคารไทย;สมาคมธนาคารไทย;สมาคมธนาคารไทย;ธนาคารไทย;ธปท.;สมาคมผู้ประกอบการพาณิชย์;ธปท.;ธนาคารแห่งประเทศไทย;เศรษฐพุฒิ;ธปท.;SMEs;เศรษฐพุฒิ;มหาวิทยาลัยนิวยอร์ก;ธนาคารกลางอังกฤษ;ธปท.;บริษัทไทย;GOVERNOR;กองบรรณาธิการGOVERNOR;การธนาคารแห่งประเทศไทย;ธปท.;เศรษฐพุฒิ;ธปท.;ธปท.;การควบคุม;ธปท.;ธปท.;สำนักงานพัฒนา;มหาวิทยาลัยวลัยลักษณ์;Facebook;ธรรมศาสตร์;จุฬาฯ;Bazaar;ยฟง;สำนักเศรษฐกิจภูมิภาค;Facebook;ธุรกิจขนาดกลาง;ธนาคารไทย;สมาคมธนาคารไทย;GOVERNOR;ธปท.;ธนาคารกลาง;ดร.เศรษฐพุฒิ;ดร.เศรษฐพุฒิ;ธปท.;เศรษฐพุฒิ;ธปท.;ธนาคารแห่งประเทศไทย;ธปท.ไทย;ธปท.;สศช.รศ.;ธปท.;สำนักงานสภา;สศช.;แพลตฟอร์มไทย;แพลตฟอร์ม;แพลตฟอร์มไทย;กรมการจัดหางาน;ซูเปอร์;กระทรวงแรงงาน;บริษัท ซีเอ็ดยูเคชั่นจำกัด มหาชน;บริษัท ไทยโตชิบาอุตสาหกรรมจำกัด;บริษัท อินเด็กซ์ ลิฟวิ่งมอลล์ จำกัด มหาชน;บริษัท บางจากกรีนเนท จำกัดบริษัท บิซิเนส เซอร์วิสเซส อัลไลแอนซ์ จำกัด;บริษัท เรสเทอรองตส์ ดีเวลลอปเม้นท์จำกัด;บริษัท เมซโซ่ จำกัด;กระทรวงแรงงาน,2563;สำนักงานสถิติแห่งชาติ;สหประชาชาติ;CONTENTSBOT WS-สยาม;ศาลยุติธรรม;COVER;New;บริษัท 2;สำนักงานสาขาย่อย;สภาพงษ์;ธนาคารแหงประเทศไทย;ธปท.;ทแรงงานไทยการลอกดาวน;สทธ;แรงงานไทยคอ;ยสมยใหม่;สถานการณโควด 19;ธปท.;ธปท.;ธปท.;ธปท.;ธปท.;กระทรวงการคลง;EXECUTIVE;กระทรวงแรงงาน;สภาพัฒนาการเศรษฐกิจ;กระทรวงการอุดมศึกษา;ธปท.;อว.;มหาวิทยาลัยหอการค้าไทย;ศูนย์พยากรณ์เศรษฐกิจและธุรกิจ;มหาวิทยาลัยหอการค้าไทย;สำนักเศรษฐกิจภูมิภาค;กรมควบคุมโรคติดต่อ;ธนาคารแห่งประเทศไทย;มหาวิทยาลัยขอนแก่น;สภาพัฒน์ฯ;สำนักงานสภาพัฒนาการเศรษฐกิจและสังคมแห่งชาติ;สศช.;วิทยาลัยพัฒนศาสตร์;คณะเศรษฐศาสตร์;มหาวิทยาลัยธรรมศาสตร์;BESTINATION;กองบรรณาธิการNEW;กระทรวงแรงงาน;INSPIRATION;สำนักงาน;ธปท.;สมาคมต่าง ๆ;สภาหอการค้าแห่งประเทศไทย;สภาอุตสาหกรรมแห่งประเทศไทย;สมาคมโรงแรมไทย;SMEs;ธปท.;ธปท.;สภาหอการค้า;สภาอุตสาหกรรม;ธปท.;ธปท.;บง;สภาหอการค้า;สมาคมผู้ประกอบการค้าปลีก;สมาคมโรงแรม;สภาอุตสาหกรรม;สมาพันธ์ SMEs;สภา SMEs;ธปท.;เศรษฐพุฒิ;ธปท.;ธปท.;GOVERNOR;ธนาคารแห่งประเทศไทย;ธปท.;ธปท.;ธนาคารโลก;คณะกรรมการนโยบายการเงิน;กนง.;คณะกรรมการธนาคารแห่งประเทศไทย;กระทรวงการคลัง;ธปท.;ธปท.;ธปท.;ซอฟต์โลน;เศรษฐพุฒิ;กนง.;ธปท.;ธปท.;ธปท.;ธปท.;ธปท.;ธปท.;ธุรกิจขนาดกลาง;ธนาคารแห่งประเทศไทย;ธปท.;สำนักงานส่งเสริมวิสาหกิจขนาดกลางและขนาดย่อม;ธปท.;ปท.5;ธนาคารแห่งประเทศไทย;CONTENTSBOT;ธนาคารแห่งประเทศไทย;ธปท.;สศค.;คลังสมอง;สมาคมโรงแรมไทยภาคใต้ชู;ภูเก็ตแซนด์บ็อกซ์;สภาหอการค้าแห่งประเทศไทย;สศค.;การควบคุม;สมาคมโรงแรมไทยภาคใต้ชู;ภูเก็ตแซนด์บ็อกซ์;สมาคมโรงแรมไทยภาคใต้ ;INSPIRATIONนน;โรงแรมไทยภาคใต้;องค์กรปกครองส่วนท้องถิ่น;ธปท.;กระทรวงแรงงาน;ธปท.;กระทรวงมหาดไทย;สภาพัฒน์;ภูเก็ตโมเดล;ธปท.;ธรกจไทย;หอการคาไทย;สภาหอ;การคาแหงประเทศไทย;มอกบรฐบาล;ธนาคารแหงประเทศไทย;ธปท.;การคาไทย;สภาหอการคาแหงประเทศไทยเขาใจ;ธปท.;SMEs;หอการค้าไทย;สภาหอการค้า;SMEs;หอการค้าไทย;สภาหอการTHAILANDBOARD;หอการค้าไทย;สภาหอการค้าแห่ง;บริษัทข้อมูลเครดิตแห่งชาติ;ธปท.;ธปท.;ธปท.;หอการค้าไทย;ธปท.;หอการค้าไทย;สมาคม ธปท.;หอการค้าไทย;ธปท.;ธนาคารแห่งประเทศไทย;GLOBAL;อิสราเอล;AJP;Plan;สำนักงานส่งเสริมวิสาหกิจ แรงงาน;Phenixville;สหภาพยุโรป;สหภาพยุโรป;คณะกรรมาธิการยุโรป;European;สหภาพยุโรป;สหภาพยุโรป;กองทุนฟื้นฟูเศรษฐกิจ;ธปท.;ธปท.;ธปท.;สถาบัน โควิด 19;ธปท.;ไทยไทย;ซูเปอร์มาร์เก็ตท้องถิ่น;BESTINATION;พิพิธภัณฑ์การแพทย์ไทย;ธนาคารแห่งประเทศไทย;ธปท.;สำนักเศรษฐกิจภูมิภาค;ธนาคารแห่งประเทศไทย;ธปท.;สศค.ศ;คลังสมอง;สำนักงานเศรษฐกิจการคลัง;สศค.;องค์กรคลังสมองแห่งชาติ;ThinkTank;คณะกรรมการกำกับและส่งเสริมการประกอบธุรกิจประกันภัย;คปภ.;สำนักงาน รากฐานใหม่;คปภ.;บริษัท;กรมธรรม์ประกันภัย;กระทรวงพาณิชย์;ศาลยุติธรรม;สำนักงานคณะกรรมการการ;คณะกรรมการกิจการกระจายเสียงกิจการโทรทัศน์ และกิจการโทรคมนาคม;กสทช.;คณะกรรมการตรวจเงิน;คปภ.;สำนักงาน คปภ.;สำนักเศรษฐกิจภูมิภาค;Social Lab;บริษัท คิว บ็อกซ์ พอยท์ จำกัด;กรมการข้าว;ธนาคารเพื่อการเกษตร;บริษัท คิว บ็อกซ์;พอยท์ จำกัด;บริษัท สฤก จำกัด;สำนักงานสภาพัฒนาการเศรษฐกิจและสังคมแห่งชาติ;สำนักงานสถิติแห่งชาติ;Social Lab ยังจำกัด;เกษตรไทย;Gartner, Inc;PricewaterhouseCoopers;โควิด 19;กองจันทร์;ดร.ทองเปลวกองจันทร์;กระทรวงเกษตรและสหกรณ์;องค์การสหประชาชาติ;กระทรวงกษตรมะ;กระทรวงเกษตรฯ;กระทรวงเกษตรฯ;กองทุนฟื้นฟู;กองทุนสงเคราะห์เกษตรกร;กระทรวงเกษตรฯ;กษ.;กษ.;กรมชลประทาน;เกษตรไทย;กระทรวงเกษตรฯ;กระทรวงเกษตร;กระทรวงเกษตรฯ;โควิด 19;IPCC;สหภาพยุโรป;AgriTech;กรมทรัพยากรทางทะเล;ศูนย์รังสิต;ธรรมศาสตร์;สำนักเศรษฐกิจภูมิภาค;ธนาคารโลก;สำนักงานสภาพัฒนาการเศรษฐกิจและและสังคมแห่งชาติ;สำนักงานสถิติแห่งชาติ;ธนาคารโลก;สถาบันวิจัย5;สถาบันวิจัยรสชาติอาหารบริษัท พิดส์ จำกัด;บริษัท นิธิพูดส์ จำกัด;ธุรกิจขนาดกลาง;บริษัท มอร์ฟูดส์;สถาบันอาหาร;กระทรวงอุตสาหกรรม;กระทรวงเกษตร;More Meat;กระทรวงพาณิชย์;กระทรวงเกษตรฯ;กระทรวงเกษตรฯ;องค์การสหประชาชาติ;กระทรวงเกษตรฯ;กษ.;กระทรวงเกษตรและสหกรณ์;กระทรวงเกษตรฯ;องค์การสหประชาชาติ;ธนาคารแห่งประเทศไทย;ธปท.;แลกเปลี่ยนความคิดเห็น;สถาบันวิจัยเศรษฐกิจป๋วย อึ้งภากรณ์;ธนาคารแห่งประเทศไทย;ไทย;บริษัท สคูลดิโอ จำกัด;ธนาคารแห่งประเทศไทย;สถาบันวิจัยเศรษฐกิจ;บริษัท สคูลดิโอ จำกัด;โควิด 19;WorldEconomic Forum;อาเซียน;อาเซียน;กระทรวงพาณิชย์;อสม.;ธนาคารแห่งประเทศไทย;ธปท.;ธปท.;ธปท.;CBDC;ธปท.;ธปท.;ธปท.;ธปท.;กองทุนการเงินระหว่างประเทศ;IMF;ธปท.;มหาอานาจ;โควิต 19;AEs;บริษัท โลก;ธปท.;ธปท.;ธปท.;สหประชาชาติ;อาเซียน;อาเซียน;เอเชีย;RCEP;อาเซียน;ธปท;ธนาคารแห่งประเทศไทย;ธปท.;ธปท.;กรมการข้าว;บริษัท คิว บ็อกซ์ พอยท์ จำกัด;บริษัทRegional Activity Tracker;ธปท.	ORG
2022	สภาพัฒน์;สภาพัฒน์;สภาพัฒน์;สำนักเศรษฐกิจภูมิภาค;ไทย;สำนักข่าวซินหัว;กรมศุลกากร;กลุ่มแชมเปียน;ธนาคารแห่งประเทศไทย;สำนักงานตัวแทนธนาคารแห่งประเทศไทย;ธปท.;หอการค้าไทย;สมาคมส่งเสริมการลงทุนและการค้าไทย;สำนักงานส่งเสริมการค้าในต่างประเทศ;สมาคม;กรมส่งเสริมการค้าระหว่างประเทศ;กระทรวงพาณิชย์;กระทรวงเกษตรและสหกรณ์;HIGHLIGHT;กระทรวงพาณิชย์;ธปท.;เศรษฐกร;เศรษฐกร;Roblox;InternationalData Corporation;IDC;Metaverse;อินสตาแกรม;Submit;ออฟไลน์;Metaverse;Bubble;METAVERSE;ราชบัณฑิตยสภา;Metaverse;กูเกิล;Metaverse;กลุ่มวาณิชธนกิจ Jefferies;บริษัท บิสกิต โซลูชั่น จำกัด;BIZCUIT;IoT;GLOBALTREND;AI;ของ;และ;ของสำนักข่าวบีบีซี ประเทศ;ของ;Deloitte;สำนักข่าวบีบีซี	ORG
