Year	Author Names	Conference
2012	FIDE;ธปท.;ธปท.;ธปท.;ธปท.;ธปท.;ธปท.;ธปท.;ธปท.;ธปท.;ธนาคารแห่งประเทศไทย;ธปท.;สถาบัน1;กองทุนฟื้นฟูฯ;กองทุนฟื้นฟูฯ;ธปท.;ธปท.;ธปท.;กองทุนฟื้นฟูฯ;ธปท.;ธปท.;ธปท.;สถาบันคุ้มครองเงินฝาก;DPA;กองทุนฟื้นฟูฯ;ธปท.;ธปท.;คณะรัฐมนตรี;กระทรวงการคลัง;กองทุนฟื้นฟูฯ;กระทรวงการคลัง;ธปท.;กองทุนฟื้นฟูฯ;กระทรวงการคลัง;สำนักบริหารหนี้สาธารณะวิกฤติการณ์ทางเศรษฐกิจ;ธนาคารการขนส่ง;Scan;บริษัท ทีโอที จำกัด มหาชน;ธนาคารกรุงไทย;ธปท.;ธปท.;ธปท.;ธนาคารกรุงไทย;ธนาคารกรุงไทย;ธนาคารกรุงไทย;ธนาคารกรุงไทย;ธนาคารกรุงไทย;ธปท.;ธนาคารกรุงไทย;สำนักงานบริหารหนี้สาธารณะสบน.;กระทรวงการคลัง;ธปท.;พันธบัตรรัฐบาล;Sนาคารกรุงไทย;ธปท.;Local Switching;บัตรอิเล็กทรอนิกส์;ธปท.;ธปท.;ธปท.;ธปท.;ธปท.;สก;ธนาคารแห่งประเทศไทย;ธปท.;ธปท.;ธปท.;ดอลลาร์สหรัฐอเมริกา;ธปท.;ธปท.;ธปท.;กนง.;ธปท.;ธปท.;ธปท.;สง.;ธปท.;สง.;สง.;พระสยามท่าธุรกิจ;Basel;Committee;BIS;ธพ.;ธปท.;Swedish Central;ธพ.;UniversalBanking;บุคคลธรรมดา;กระทรวงการคลัง;กบข..;กองทุนรวม;กองทุนสำรองเลี้ยงชีพ;บริษัทหลักทรัพย์;ธปท.;ตลาดหลักทรัพย์ฯ;ธปท.;กระทรวงการคลัง;ธปท.;ธปท.;บริษัทบัตSเครดิต;อเมริกันเอ็กซ์เพรส;POS;แมคโดนัลด์;SMS;สำนักงานสถิติแห่งชาติ	ORG
2013	ธปท.;ธนาคารแห่งประเทศไทย;ธนาคารภารกิจครั้งสำคัญเพื่อชาติปริญญาตรี;ธปท.;กระทรวงคมนาคม;บริษัท สยามกลการ จำกัด;บริษัทฯ;คณะกรรมการศึกษา;ธปท.;กรมทางหลวง;ธนาคารโลก;กรมทางหลวง;กรมสรรพากร;ธปท.;สยามกลการMบ;ธปท.;ธปท.;ธปท.;ธปท.;ธปท.;ธปท.;SMEs;ธปท.;ธปท.;ธปท.;ธปท.;ธปท.;ธปท.;ธนาคารแห่งประเทศไทย;ธปท.;พระสยามNAN;ธปท.;ธปท.;ธปท.;ธปท.;SMEs;SMEs;ธปท.;ธปท.;ธปท.;ธุรกิจขนาดย่อม;ศคง.;ศคง.;ธปท.;ศคง.;สถาบันการเงิน;ปท.;ธุรกิจเงินทุน;ธุรกิจเครดิตฟองซิเอร์;ธปท.;บริษัทเงินทุน;บริษัทเครดิตฟองซิเอร์;บริษัทเครดิตฟองซิเอร์;ราชกิจจานุเบกษา;ธนาคารแห่งประเทศไทย;ธนาคารพาณิชย์ไทย;ไทย;ธอส.;ธ.อิสลาม;ธ.ออมสิน;ธกส.;ธนาคารแห่งประเทศไทย;SW.;Mortgage;ธนาคารพาณิชย์;งูกินหาง;บริษัทประกันภัยประกันชีวิต;กองทุนรวม;ธนาคารพาณิชย์;Purpose;Vehicle;SPV;ธนาคารพาณิชย์;ธนาคารกลาง;ธนาคารชาติ;สถาบันการเงิน;ธนาคารแห่งประเทศไทย;ธนาคารพาณิชย์;ธนาคารแห่งประเทศไทย;ธนาคารแห่งประเทศไทย;พาณิชย์;ธนาคารพาณิชย์;ธนาคารพาณิชย์;ธนาคารแห่งประเทศไทย;ธปท.;ธปท.;ธปท.;ธปท.;ธปท.;ธปท.;Retail;สกส.;กรมสรรพากร;ธปท.;ธปท.	ORG
2014	GE;Twist;The;บิตคอยน์;บิตคอยน์;ธนาคารบิตคอยน์;บิตคอยน์;ธปท.;องค์การวิจัยนิวเคลียร์แห่งยุโรปในประเทศ;บริษัทห้างร้านต่าง ๆ;III;*VietinBank;ธนาคารกรุงเทพBangkok Bankធនាគរ;ศคง.;ศูนย์คุ้มครองผู้ใช้บริการทางการเงิน;ธนาคารแห่งประเทศไทย;ธปท.;ธปท.;We;Share;สุดความสามารถ;เสียดอกเบี้ย;ศคง.;IPS;กองทุนรวมบริษัทประกันภัย ฯลฯ;สถาบันการเงินไทย;สำนักงานเศรษฐกิจการคลัง;สศค.;สถาบันพัฒนาความรู้ตลาดทุน;ตลาดหลักทรัพย์แห่งประเทศไทย26;ธนาคารแห่งประเทศไทย;แบงก์ชาติ;กองทุนการเงินระหว่างประเทศ;ไอเอ็มเอฟ;ศคง.;สกิมเมอร์;ธนาคารแห่งประเทศไทย;สำนักงานพัฒนาธุรกรรมทางอิเล็กทรอนิกส์:องค์กรมหาชน;ธนาคารแห่งประเทศไทย;แบงก์ชาติ;กรมสรรพากร;สถาบันการเงิน	ORG
2015	เครดิตบูโร;เครดิตบูโร;บริษัทข้อมูลเครดิตฯ;บริษัท ข้อมูลเครดิต จำกัด;บริษัท ข้อมูลเครดิตแห่งชาติ จำกัด;ธปท.;คณะกรรมการคุ้มครองข้อมูลเครดิต;เครดิตบูโร;ธนาคารแห่งประเทศไทย;ศูนย์คุ้มครองผู้ใช้บริการทางการเงิน;สคบ.;สำนักงานคณะกรรมการคุ้มครองผู้บริโภค;สคบ.;กระทรวงการคลัง;กรมสอบสวนคดีพิเศษ;ศูนย์คุ้มครองผู้ใช้บริการ;ศูนย์คุ้มครองผู้ใช้บริการ;ธนาคารแห่งประเทศไทย;สำนักงานปลัดกระทรวง;การคลัง;กระทรวงการคลัง;ศูนย์คุ้มครองผู้ใช้บริการทางการเงิน;กระทรวงการคลัง;บริษัทเงินสดทันใจ จำกัด;บริษัท ไทยเอซ แคปปิตอล จำกัด;บริษัทแมคคาเล กรุ๊พ จำกัด มหาชน;บริษัท สหไพบูลย์ 2558 จำกัด;บริษัท ไอร่า แอนด์ ไอฟุล จำกัด มหาชน;กระทรวงการคลัง;ธปท.;ศูนย์คุ้มครองผู้ใช้บริการทางการเงิน;บริษัทต่าง ๆ• นาโนไฟแนนซ์•;ที่ทำการไปรษณีย์•;แบงก์ชาติ;ธนาคารออมสิน;ธนาคารอาคารสงเคราะห์;กระทรวงการคลัง;คณะกรรมการธุรกรรมทางอิเล็กทรอนิกส์;แบงก์ชาติ;ศูนย์คุ้มครองผู้ใช้บริการทางการเงิน;****;ศคง.;กินดอกเบี้ย;ศูนย์คุ้มครองผู้ใช้บริการ;ธนาคารแห่งประเทศไทย;ธปท.;ธปท.;ธปท.;มุมสะท้อน;ธปท.;ธปท.;มติชน;ASTV;Bangkok Post;ธปท.;ศูนย์คุ้มครองผู้ใช้บริการทางการเงิน;InternetBanking;Forward;Options;ศคง.;ธนาคารแห่งประเทศไทย;ธปท.;ธปท.;ธปท.;ธนาคาร;ธปท.	ORG
2016	ศูนย์คุ้มครองผู้ใช้บริการทางการเงิน;ธนาคารต่าง ๆ;ธนาคารแห่งประเทศไทย;บริษัท เนชั่นแนล ไอทีเอ็มเอ็กซ์ จำกัด;NITMX;ธนาคารแห่งประเทศไทย;Non-bank;บริษัท NITMX;กระแสรายวัน;สมาคมธนาคารไทยและธนาคารพาณิชย์;ATM;ก.Sบาคาร;********;******;ก.Mobile;นายก.;ศูนย์คุ้มครองผู้ใช้บริการทางการเงิน;สำนักงานSMS;สคบ.;สถาบันเสริมความงาม;ข้อมูลเครดิต;ศูนย์คุ้มครองผู้ใช้บริการทางการเงิน;กรมธรรม์ประกันภัย;ศูนย์คุ้มครองผู้ใช้บริการ;ธนาคารแห่งประเทศไทย;ธนาคาร;ศูนย์คุ้มครองผู้ใช้บริการ	ORG
2017	ธนาคารแห่งประเทศไทย;ธนาคารกลางอินโดนีเซีย;ธนาคารกลางมาเลเซีย;ธนาคารกลางมาเลเซีย;ธนาคารแห่งประเทศไทย;ธนาคารกลางอินโดนีเซีย;ดอลลาร์สหรัฐฯ;ธนาคารกลางอินโดนีเซีย;ธนาคารกลางมาเลเซีย;ธนาคารแห่งประเทศไทย;ธปท.;ธนาคารกลางมาเลเซีย;ธนาคารกลางอินโดนีเซีย;รูเปีย;ธนาคารแห่งประเทศไทย;ธนาคารกลางอินโดนีเซีย;ธปท.;ธปท.;กรมบัญชีกลาง;กรมบัญชีกลาง;กรมการปกครอง;กรมบัญชีกลาง;สำนักงานคณะกรรมการพัฒนาระบบราชการ;ก.พ.ร.;กรมบัญชีกลาง;กรมบัญชีกลาง;กรมการปกครอง;กระทรวงมหาดไทย;กรมบัญชีกลาง;กระทรวงการคลัง;มก.;กระทรวงมหาดไทย;กระทรวงพัฒนาสังคมฯ;กระทรวงมหาดไทย;กระทรวงมหาดไทย;กรมบัญชีกลาง8;กรมบัญชีกลาง;ธนาคารActivate9;สำนักงานคณะกรรมการพัฒนาระบบราชการ;ก.พ.ร.;กรมบัญชีกลาง;ธนาคารพาณิชย์;สมาคมธนาคารไทย;ธนาคารกสิกรไทย;ธนาคารแห่งประเทศไทย;กระทรวงการคลัง;สมาคมธนาคารไทย;ธนาคารกสิกรไทย จำกัด มหาชน;สมาคมธนาคารไทย;กรมบัญชีกลาง;กรมบัญชีกลาง;กองทุนสวัสดิการชุมชนวันละ;ธนาคารแห่งประเทศไทย;PrivateChain;PrivateChain;บริษัท;PrivateChain;กลต.นนบสานฝัน;EFFORTLESSSAVING;ธนาคารแห่งประเทศไทย;ธปท.;ธนาคารพัฒนาเอเชีย;คณะนิเทศศาสตร์;ห้องประชุมโทรรวมใจ;ธนาคารแห่งประเทศไทย;บริษัท ข้อมูลเครดิตแห่งชาติ จำกัด;สมาคมธนาคารไทย;สมาคมSนาคารนานาชาติ;บริษัท บริหารสินทรัพย์สุขุมวิท จำกัด;SAM;ธนาคารแห่งประเทศไทย;GDP;ธนาคารแห่งประเทศไทย;สถาบันวิจัยเศรษฐกิจ;บริษัท ข้อมูลเครดิตแห่งชาติ จำกัด;สมาคมธน;SAM;าคารไทย;บริษัท บริหารสินทรัพย์สุขุมวิท จำกัด;สมาคมธนาคารไทย;บริษัท บริหารสินทรัพย์สุขุมวิท จำกัด;สมาคมธนาคารไทย;บริษัท บริหารสินทรัพย์สุขุมวิท จำกัด;SAM;บริษัท บริหารสินทรัพย์สุขุมวิท จำกัด;บริษัท บริหารสินทรัพย์สุขุมวิท จำกัด;SAM;ธนาคารพาณิชย์;บริษัท บริหารสินทรัพย์สุขุมวิท จำกัด;SAM;SAM;SAM;บริษัท บริหารสินทรัพย์สุขุมวิท จำกัด;SAM;ธนาคารซิตี้แบงก์;ธนาคารซิตี้แบงก์;สมาคมธนาคารนานาชาติ;สมาคมธนาคารนานาชาติ;สมาคมธนาคารนานาชาติ;กรรมการVOETHEARTSCV;บริษัท ข้อมูลเครดิตแห่งชาติ จำกัด;ดร.วิรไท;Diego;UCSD;สถาบันวิจัยเศรษฐกิจป๋วย;ภากรณ์;UCSD;สถาบันวิจัยเศรษฐกิจ;อึ้งภากรณ์;ธปท.;ธปท.;ธปท.;ธปท.;ธปท.;ธปท.;ธปท.;MC;ธปท.;ธปท.;Stakeholder;ธนาคารพาณิชย์;MLR;ธนาคารแห่งประเทศไทย;ธปท.;ธนาคารแห่งประเทศไทย;ธปท.;ธปท.;ธปท.;ธปท.;ธปท.;ธนาคารแห่งประเทศไทย;ธปท.;ธปท.;ธปท.;ธปท.;ธปท.;Trade-off;ธปท.;ธปท.;ธปท.;มูลนิธิยุวสถิรคุณ;กระทรวงการคลัง;คณะปฏิวัติ;ธปท.;ธปท.;ธปท.;ศูนย์คุ้มครอง;สสว.;ธนาคารแห่งประเทศไทย;กรุงเทพ;กรุงศรี;ห้องประชุมภัทรรวมใจ;ธนาคารแห่งประเทศไทย;ธนาคารพัฒนาวิสาหกิจขนาดกลาง;วิรไท;ดร.วิรไท;สน.;สสว.;SMEs;สสว.;กระทรวงอุตสาหกรรม;ธสน.;สมาคมธนาคารไทย;กรุงเทพ;ธนาคารกรุงไทย;ธนาคารกรุงศรีอยุธยา;ธนาคารกสิกรไทย;ธนาคารซีไอเอ็มบี ไทย;ธนาคารไทยพาณิชย์;ธนาคารทหารไทย;ธนาคารยูโอบี;ธปท.;สสว.;กระทรวงพาณิชย์;สมาคมธนาคารไทย;สสว.;กองทุนสำรองเลี้ยงชีพ;กองทุนสำรองเลี้ยงชีพ;กองทุนสำรองเลี้ยงชีพ;บลจ.;กองทุนเพื่อการเลี้ยงชีพ;กองทุนรวม;กองทุนเพื่อการเลี้ยงชีพกองทุนเพื่อการเลี้ยงชีพ;Retirement Mutual Fund;RMF;กองทุนบำเหน็จบำนาญข้าราชการ;กบข.;กองทุนรวม;LTF	ORG
2018	ATM;กคน.;Non-bank;บริษัทบริหารสินทรัพย์;บบส.;บริษัทบริหารสินทรัพย์;บบส.;บบส.;ธปท.;คณะกรรมการกำกับดูแล;ธปท.;สมาคมธนาคารไทย;ธนาคารพาณิชย์;บสส.;Non-bank;สมาคมธนาคารไทย;สมาคมธนาคารนานาชาติ;บริษัทบริหารสินทรัพย์สุขุมวิท จำกัด;ธนาคารแห่งประเทศไทย;ธปท.;BOTพระสยาม;ธปท.;บริษัท บริหารสินทรัพย์สุขุมวิทจำกัด;สส.;SAM;ธปท.;บริษัท A;บริษัท ANIM;อินโดนีเซีย;ฟิลิปปินส์;บริษัท A;ศูนย์คุ้มครองผู้ใช้บริการทางการเงิน;ธปท.;ธปท.;ธปท.;ธนาคารแห่งประเทศไทย;ธปท.;Mobile Banking;ธปท.;ธปท.;ธปท.;Cross-bank Bill Payment;Forward;ดอลลาร์สหรัฐฯ;ธนาคารแห่งประเทศไทย;ธปท.;SMEs;ธนาคารแห่งประเทศไทย;แบงก์ชาติ;แบงก์ชาติ;ศูนย์คุ้มครองผู้ใช้บริการทางการเงิน;แบงก์ชาติ;แบงก์ชาติ;กองทุนรวม;ธปท.;กรมสรรพากร;ธปท.;ธปท.;สมาคมธนาคารไทย;สมาคมธนาคารไทย;บริษัท เนชันแท้;กรมสรรพากร;กรมสรรพากร;ธปท.;ธปท.;ธปท.;ธปท.;ธปท.;ธปท.;ธนาคารกลาง;ธปท.;ธนาคารพาณิชย์;ธนาคารพาณิชย์;เมียนมา;CLMV;มหาวิทยาลัยหอการค้าไทย;คณะเจ้าหน้าที่ด้านโกลบอลมาร์เก็ตส์;ธนาคารกรุงศรีอยุธยา จำกัดมหาชน;ธนาคารกสิกรไทย จำกัด มหาชน;ธปท.;ธปท.;ธนาคารกรุงเทพ จำกัด มหาชน;ธนาคารซีไอเอ็มบี ไทย จำกัด มหาชน;ซิงห์;บริษัท ศรีไทยซุปเปอร์แวร์ จำกัด มหาชน;บริษัท ดับเบิ้ล เอ 1991 จำกัด มหาชน;บมจ.ศรีไทย;กลุ่มมิตรผล;กลุ่มมิตรผล;ธพ.;ธนาคารกรุงเทพ จำกัด มหาชน,;ธุรกิจขนาดใหญ่;ธนาคารซีไอเอ็มบี ไทย จำกัด มหาชน,;กลุ่มมิตรผล;ส่วนพัฒนากลยุทธ์;บริษัท ศรีไทยซุปเปอร์แวร์ จำกัด มหาชน,;บริษัท ดับเบิ้ล เอ 1991 จำกัดมหาชน;ธปท.	ORG
2019	บริษัท บริหารสินทรัพย์สุขุมวิท จำกัด;EME;ธนาคารแห่งประเทศไทย;สรอ.;ธปท.;ธนาคารกลางอาเซียน;ธนาคารกลางอาเซียน;API;อาเซียน;ธปท.;อาเซียน;อาเซียน;SMEs;อาเซียน;ธปท.;ธปท.;Money Transfer Agent;ธปท.;กัทรรวมใจ;ธนาคารแห่งประเทศไทย;บริษัท บริหารสินทรัพย์สุขุมวิท จำกัด;สส.;SAM;Non-bank;ธปท.;บริษัทบริหารสินทรัพย์;ธปท.;ชมรมธุรกิจบัตรเครดิต;ชมรมสินเชื่อส่วนบุคคล;ธนาคารแห่งประเทศไทย;ธปท.;ธปท.;ธนาคารพาณิชย์;สมาคมธนาคารไทย;สมาคมธนาคารนานาชาติ;บริษัทบริหารสินทรัพย์สุขุมวิทจำกัด;SAM;ธปท.;ธปท.;ธนาคารแห่งประเทศไทย;ธปท.;ธนาคารแห่งประเทศไทย;กระแสสังคม	ORG
2020	คณะกรรมการกำหนดมาตรฐานการบัญชีระหว่างประเทศ;สภาวิชาชีพบัญชี;BOT พระสยาม MAGAZINE;FVOCI;บริษัทบริหารสินทรัพย์สุขุมวิท;SAM;กรมบังคับคดี;ออมสิน;ธนาคารออมสิน;คณะกรรมการนโยบายการเงิน;กนง.;ธปท.;ธนาคารออมสิน;แบงก์ชาติ;ธนาคารแห่งประเทศไทย;ธปท.;แบงก์ชาติ;บสย.;ธปท.;บสย.;ธนาคารแห่งประเทศไทย;กองบรรณาธิการ;ธปท.;ธนาคารแห่งประเทศไทย;ธปท.;ธปท.;ธนาคารแห่งประเทศไทย;ธนาคารออมสิน;ศูนย์คุ้มครองบริการทางการเงิน;ธนาคารแห่งประเทศไทย;ศคง.;ธปท.;ธปท.;ธนาคารแห่งประเทศไทย;ธปท.;ชมรมผู้ประกอบการ;ธปท.;ธปท.;ธปท.;ธปท.;สภาหอการค้าแห่งประเทศไทย;สภาอุตสาหกรรมแห่งประเทศไทย;ธปท.;SFI;ธปท.;สมาคมธนาคารไทย;สมาคมธนาคารนานาชาติ;สมาคมสถาบันการเงิน;สมาคมลีสซิ่งไทย;สมาคมธุรกิจเช่าซื้อ;สมาคมธุรกิจเช่าซื้อรถจักรยานยนต์ไทย;ชมรมธุรกิจบัตรเครดิต;สมาคมธนาคารไทย;ชมรมสินเชื่อส่วนบุคคลOK;ธนาคารแห่งประเทศไทย;ธนาคารแห่งประเทศไทย;ธปท.;มัคคุเทศน์;ธปท.;ธปท.;ธปท.;ธปท.;ธปท.;ธปท.;ธปท.;ธปท.;ไทยพีบีเอส;ธปท.;ธปท.;ธปท.;กระทรวงการคลัง;ธปท.;ธปท.;ศูนย์คุ้มครองผู้ใช้บริการทางการเงิน;ธนาคารแห่งประเทศไทย;ธนาคารแห่งประเทศไทย;สถาบันการเงิน;ธนาคารแห่งประเทศไทย;ธปท.;ID;กยศ.;กยศ.;กยศ.;กยศ.;กยศ.;กยศ.;กรมสรรพากร;กยศ.;กยศ.;กยศ.28;กยศ.;กยศ.;กยศ.;กยศ.;กยศ.;ธปท.;ธปท.;ธปท.;ธปท.;ธปท.;ธปท.;ธปท.;ธปท.;ธปท.;ธนาคารแห่งประเทศไทย;ธนาคารแห่งประเทศไทย;ธปท.;ธปท.;ธปท.;ธปท.;ธปท.;มูลนิธิคุ้มครองผู้บริโภค;สมาคมธนาคารไทย;สมาคมธนาคารนานาชาติ;สมาคมสถาบันการเงิน;สมาคมลีสซิ่งไทย;สมาคมธุรกิจเช่าซื้อไทย;สมาคมการค้า;สมาคมธุรกิจเช่าซื้อรถจักรยานยนต์ไทย;ชมรมธุรกิจบัตรเครดิต;สมาคมธนาคารไทย;ชมรมสินเชื่อส่วนบุคคล10 BOT;ธปท.;ธปท.;มูลหนี้;มูลหนี้;ดอลลาร์สิงคโปร์;ธปท.;SME;SME;สมาคมธ.ไทย HERE;ศูนย์ความเป็นเลิศด้านการค้า;EXAC;สสว»;ธปท.;มูลนิธิสุภา วงค์เสนา;มูลหนี้;การขายทอดตลาด;มูลนิธิสุภา วงค์เสนาเพื่อการปฏิรูปสิทธิลูกหนี้44;INSPIRATION;ธนาคารแห่งประเทศไทย;ธปท.;คุณอาจิน;การขายทอดตลาด;กรมบังคับคดี;คุณอาจิน;มูลนิธิฯ;อสก.;อสม.;ชมรมปฏิรูปสิทธิลูกหนี้;คุณอาจิน;มูลนิธิฯ;กรมบังคับคดี;กรมที่ดิน;มูลหนี้;ธปท.;ศูนย์คุ้มครองผู้ใช้บริการทางการเงิน;แบงก์ชาติ;กระทรวงการคลัง;CF;กระแสสังคม;การตั้งสติ;ธปท.;กระทรวงการคลัง;ธปท.;ธปท.;กลุ่มnon-bank;กลุ่มกองทุนสำรองเลี้ยงชีพ;ธปท.;กองทุนรวม;กองทุนสำรองเลี้ยงชีพ;ธุรกิจหลักทรัพย์	ORG
2021	ธปท.;ธนาคารแห่งประเทศไทย;ธปท.;ธปท.;ธปท.;ธปท.;กระทรวงการคลัง;บรรษัท•;จิ;ธนาคารแห่งประเทศไทย;SMEs;SMEs;Factoring;SMEs;Factor;ธนาคารแห่งประเทศไทย;กองทุนรวม;ธปท.;สำนักงานกฎหมายติดตามลูกหนี้;ธปท.;ธปท.;กรมบังคับคดี;ธปท.;ธนาคารแห่งประเทศไทย;ธปท.;ธปท.;ธปท.;กรมบังคับคดี;สำนักงานศาลยุติธรรม;สำนักงานศาลยุติธรรม;กรมบังคับคดี;กระทรวงยุติธรรม;ธนาคารแห่งประเทศไทย;ธปท.;สำนักงานศาลยุติธรรมกรมบังคับคดี;กระทรวงยุติธรรม;ธนาคารแห่งประเทศไทย;ศูนย์คุ้มครองผู้ใช้บริการทางการเงิน;ธนาคารแห่งประเทศไทย;ธนาคารแห่งประเทศไทย;ศาลฎีกา;ธปท.;ธปท.;บุคคลล้มละลาย;ศาลยุติธรรม;สำนักงานคุณพงษ์เดช;ธปท.;ธปท.;ธปท.;กองทุนสำรองเลี้ยงชีพ;กองทุนสำรอง;ตลาดหลักทรัพย์แห่งประเทศไทย;กองทุนรวม;กองทุนสำรองเลี้ยงชีพ;FINANCIAL;สถาบันวิจัยประชากร;มหาวิทยาลัยมหิดล;กองทุนบำเหน็จบำนาญข้าราชการ;กบข.;กองทุนสำรองเลี้ยงชีพ;PVD;กองทุนรวม;การเลี้ยงชีพ;ธปท.;สมาคมต่าง ๆ;สภาหอการค้าแห่งประเทศไทย;สภาอุตสาหกรรมแห่งประเทศไทย;สมาคมโรงแรมไทย;บสย.;บสย.;ธปท.;SFIs;ธปท.;SFIs;อสม.;กรมการปกครอง;SFHS;ธปท.;ธปท.;ธปท.;เศรษฐพุฒิ;ซอฟต์โลน;ซอฟต์โลน;ธปท.;ซอฟต์โลน;ธปท.;ธปท.;ธปท.;ธปท.;ธปท.;เศรษฐพุฒิ;ธปท.;Warehousing;ธปท.;ธปท.;ธุรกิจขนาดใหญ่;ดร.เศรษฐพุฒิ;ธปท.;ธปท.;GOVERNOR;ธนาคารแห่งประเทศไทย;ธปท.;ดร.เศรษฐพุฒิ;ธปท.;ธปท.;ธนาคารแห่งประเทศไทย;****;วีระ;ธปท.;สภาผู้แทนราษฎร;ธปท.;ธปท.;ธปท.;ธปท.;ธปท.;ธปท.;ธปท.;ธปท.;ธปท.;ธปท.;ธปท.;สภาหอการค้าแห่งประเทศไทย;สภาอุตสาหกรรมแห่ง;ธปท.;สมาคมโรงแรมไทย;ธปท.;กระทรวงการคลัง;ธปท.;ธปท.;ธปท.;ธปท.;RECOMMENDED;ธปท.;ธปท.;ธปท.;ธปท.;ธปท.;ธปท.;ธนาคารแห่งประเทศไทย;ธปท.;สศค.;ธปท.;สศค.;กรมปรง;ดอกเตอร์บิส”;ธนาคารแห่งประเทศไทย;ธปท.;ธปท.;ธปท.;ธปท.;ธปท.;ธปท.;ธปท.;ซอฟต์โลน;เดอะมอลล์ กรุ๊ป;เดอะมอลล์ กรุ๊ป;ธปท.;กระทรวงการคลัง;ธปท.;ธปท.;ธปท.;พ.ค.;ธปท.;ศูนย์ปฏิรูปอุตสาหกรรมสู่อนาคต;ธปท.;กระทรวงการคลัง;ธนาคารแห่งประเทศไทย;กระทรวงการคลัง;สำนักงานประกันสังคม;SPECIAL;สมาคมสถาบันการเงินทองรัฐ;หอการค้าไทย;สภาหอการค้าแห่งประเทศไทย;สมาคมธนาคารไทย;สมาคมธนาคารไทย;สภาอุตสาหกรรมแห่งประเทศไทยด ญ;บสย.;สำนักงานเศรษฐกิจการคลังUs;PAYMENT;ธปท.;ธนาคารกลางอินโดนีเซีย;ธนาคารกรุงเทพ;กลุ่มไทย;ธปท.;ธนาคารกลางสิงคโปร์;ธนาคารกรุงเทพ;ธนาคารกรุงไทย;ธนาคาร;กสิกรไทย;ธนาคารไทยพาณิชย์;DBSOCBC;FINANCIAL;เว็บไซต์แบงก์ชาติ;กระทรวงการคลัง;แบงก์ชาติ;กระทรวงการคลัง;สำนักงานตำรวจแห่งชาติ;ธปท.;ธนาคารแห่งประเทศไทย;ธปท.;ธนาคารกลางฮ่องกง;HKMA;ธนาคารกลางแห่งสหรัฐอาหรับเอมิเรตส์;CBUAE;สถาบันศึกษาสกุลเงินดิจิทัล;ธนาคารกลางแห่งสาธารณรัฐประชาชนจีน;ธปท.;HKMA;ธปท.;ธนาคารแห่งประเทศไทย;ธนาคารกลาง;DSนาคาร;บริษัท ASนาคาร Aธนาคาร Eบริษัท BCBDCCBDC;ธนาคารกลาง;ธปท.;การเบิกเงิน;ธปท.;ธปท.;ธปท.;บริษัท ซีมันนี่ แคปปิตอล จำกัด;บริษัท แอสเซนด์ นาโน จำกัด;ธนาคารแห่งประเทศไทย;ธปท.;ธปท.;ธปท.;ธปท.;บริษัท ซี่มันนี่ แคปปิตอล จำกัด;บริษัท แอสเซนด์ นาโน จำกัด;FINANCIAL;ศูนย์คุ้มครองผู้ใช้บริการทางการเงิน;ธปท.;สำนักงานคณะกรรมการกำกับหลักทรัพย์และตลาดหลักทรัพย์;ก.ล.ต.;ธปท.;กทงท;ธปท.;ทถกไล;ธปท.;กรงเทพฯ;ทมหมอหนฯ;สถานการณและชาระหนทม;ธปท.;ธปท.;ธปท.;ธปท.;ธปท.;ธปท.;สขมวท;ศาลมคาพพากษา;ธปท.;THE;ธปท.;ธปท.;ธปท.;สำนักงานภาคใต้;หอการค้าจังหวัด;สภาอุตสาหกรรมจังหวัด;SMEs;เครือข่ายสื่อสาร;ธปท.;ธปท.;ธปท.;ธปท.;ธปท.;ธปท.;สำนักงานภาคเหนือ;สำนักงานภาคตะวันออกเฉียงเหนือ;สำนักงานภาคใต้;ธนาคารแห่งประเทศไทย;ธปท.;ธปท.;ธปท.;สำนักงานภาคใต้;ธปท.;พาณิชย์จังหวัด;ธปท.;ธปท.;สมาพันธ์ SMEs;ธปท.;ธปท.;ธปท.;ธปท.;ธปท.;ธปท.;ธปท.;มิจฉาชีพ80;******;SMS;สมาคมธนาคารไทย;มิจฉาชีพ;************;ธปท.;ธปท.;กระทรวงการคลัง;ธปท.;ธนาคารพาณิชย์;กระทรวงการคลัง;ธปท.;IIIII;ธนาคารกลาง;Central Bank;CBDC;ธปท.;ธนาคารกลาง;ธนาคารกลาง;retailCBDC;ธปท.;FINANCIAL	ORG
