Year	Author Names	Conference
2012	ธปท.;แบงก์ชาติ;ธปท.;กระทรวงการคลัง;กระทรวงเกษตรและสหกรณ์;ธ.พ.แบงก์ชาติ;ธนาคารโลก;Conventional แบงก์ชาติ;Macro;กระทรวงการคลัง;กระทรวงการคลัง;กระทรวงการคลัง;กองทุนพัฒนาชนบท;สถาบันพัฒนาองค์กรชุมนุมชน;กระทรวงการคลัง;กระทรวงการคลัง;กระทรวงการคลัง;กระทรวงการคลัง;ธนาคารเพื่อการเกษตรและสหกรณ์;ธกส.;ธปท.;ธปท.;ธปท.;ธปท.;ธปท.;ธปท.;ธปท.;ธปท.;แบงก์ชาติ;ธปท.;ธปท.;AEC;ธปท.;ธปท.;ธปท.;ธปท.;ธปท.;ธปท.;ธปท.;SFls;SFIs จำกัด;แบงก์ชาติ;สมาคมธนาคารไทย;สถาบันการเงิน;แบงก์ชาติ;ธนาคารชาติ;ธนาคารแห่งประเทศไทย;ธนาคารชาติ;การท้วงติง;แบงก์ชาติ;คณะกรรมการกฤษฎีกา;แบงก์ชาติ;คณะศิษย์หลวงตามหาบัว;กองทุนฟื้นฟูฯ;แบงก์ชาติ;กองทุนฟื้นฟูฯ;แบงก์ชาติ;แบงก์ชาติ;กองทุนฟื้นฟูฯ;กองทุนฟื้นฟูฯ;กองทุนฟื้นฟูฯ;ครม.;แบงก์ชาติ;แบงก์ชาติ;สมาคมธนาคารไทย;SFIs;กองทุนฟื้นฟู;กองทุนฟื้นฟูฯ;แบงก์ชาติ;กองทุนฟื้นฟูฯ;กองทุนฟื้นฟูฯ;กองทุนฟื้นฟูฯ;กระทรวงการคลัง;แบงก์ชาติ;กระทรวงการคลัง;สภาพัฒน์;คณะกรรมการกฤษฎีกา;กองทุนฟื้นฟูฯ;ธนาคารกลางสเปน;BrighamENGLAND;กนง.;แบงก์ชาติ	ORG
2013	ธปท.;กนง.;แบงก์ชาติ;คณะพาณิชยศาสตร์และการบัญชี;มหาวิทยาลัยธรรมศาสตร์;ธปท.;ธปท.;IOSCO;กระทรวงการคลัง;ธปท.;ธปท.;กระทรวงการคลัง;กระทรวงการคลัง;กองทุนเพื่อการฟื้น;FIDF;ธปท.;ธปท.;ธปท.;ธปท.;Politics;Principles;ธปท.;ธปท.;ธปท.;ธปท.;ธปท.;ธปท.	ORG
2014	What If;Magazine;ธปท.;แบงก์ชาติ;ธนาคารแห่งประเทศไทย;แมกไซไซ;แบงก์ชาติ;อัสสัมชัญ;มัธยมแปด;มหาวิทยาลัยวิชาธรรมศาสตร์และการเมือง;กองทัพอังกฤษ;เสรีไทย;แบงก์ชาติ;มหาดไทย;กระทรวงกลาโหม;กระทรวงการคลัง;Writers;Club;แบงก์ชาติ;สถาบันฝึกอบรมฯ;แบงก์ชาติ;แบงก์ชาติ;ธปท.;สถาบันการเงิน;สำนักบริหารความเสี่ยง;What If;ธปท.;แบงก์ชาติ;ธนาคารแห่งประเทศไทย;ธปท.;ธปท.และแบงก์ชาติ;ธปท.;สำนักงานภาคเหนือจังหวัดเชียงใหม่;ธปท.;แบงก์ชาติ;ธปท.;ธปท.;ธนาคารกลาง;แบงก์;พรินต์;ธนบัตร;แบงก์ชาติ	ORG
2015	ธปท.;ธปท.;ธปท.;ธปท.;สำนักบริหารความเสี่ยง;ธปท.;ธปท.;Special;กองทุนรวม;แบงก์ชาติ;สถาบันการเงินระหว่างประเทศ;คอมพิวเตอร์ส่วนบุคคล;กองทุนรวม;ธปท.;แบงก์ชาติ;แบงก์ชาติ;กองทุนรวม;สำนักกลยุทธ์การลงทุน	ORG
2016	CorporateFinance;คณะกรรมการกำกับหลักทรัพย์และตลาดหลักทรัพย์;ก.ล.ต.;สภาผู้แทนราษฎร;ธปท.;แบงก์ชาติ;ธปท.;ธนาคารไทยพาณิชย์;ธปท.;Agency MBS;ธปท.;สหภาพยุโรป;EU;ธนาคารกลางสิงคโปร์;ดร.อัมพร;กองทุนสำรองเลี้ยงชีพ;ธปท.;คณะกรรมการกฤษฎีกา;สภานิติบัญญัติแห่งชาติ;สนช;ธปท.;สาธารณชน;ธปท.;ธนาคารแห่งประเทศไทย;ธนาคารแห่งประเทศไทย;สหราชอาณาจักร;อ.ป๋วย;แบงก์ชาติ;ธนาคารกลาง;กุศโลบาย;FinTech;ธปท.;ธปท.;ธปท.;ธปท.;ธปท.;ธปท.;กองทุนรวม;กองทุนบำเหน็จบำนาญแห่งชาติ;กองทุนสำรองเลี้ยงชีพ;กองทุนสำรองเลี้ยงชีพ;ตลาดหลักทรัพย์ฯ;ธปท.;สภาธุรกิจตลาดทุนไทย;แบงก์ชาติ;กองทุนPhilanthropy;กองทุนรวม;ธปท.;กองทุนบลจ.;บัวหลวง จำกัด;กองทุนรวมRMFLIF;BKIND;มูลนิธิอานันทมหิดล;มูลนิธิอานันทมหิดล;กองทุนการเงินระหว่างประเทศ;มูลนิธิอานันทมหิดล;มูลนิธิอานันทมหิดล;มูลนิธิอานันทมหิดล;ธปท.;วิรไท;ธปท.;ธปท.;ธปท.;ธปท.;มูลนิธิอานันทมหิดล;มูลนิธิอานันทมหิดล;มูลนิธิอานันทมหิดล;มูลนิธิอานันท;มหิดล แผนกธรรมศาสตร์;มหาวิทยาลัยฮาร์วาร์ด;มูลนิธิ;ธนาคารแห่งประเทศไทย;สหภาพยุโรป;แบงก์ชาติ;ธปท.;บริษัทหลักทรัพย์;กองทุนรวม;ธนาคารแห่งประเทศไทย;ธปท.;ธนาคารแห่งประเทศไทย;บลจ.บัวหลวง;กระทรวงการคลัง	ORG
2017	มหาวิทยาลัยรัตนบัณฑิต;แบงก์ชาติ;ธนาคารแห่งประเทศไทย;สถาบันพัฒนาองค์กรชุมชน;องค์การมหาชน;พอช.;องค์กรปกครองส่วนท้องถิ่น;องค์กรปกครองส่วนท้องถิ่น;กองทุน;วิทยาลัยพัฒนศาสตร์;มหาวิทยาลัยธรรมศาสตร์;พอช.;มูลนิธิมั่นพัฒนา;ศูนย์คุณธรรม;องค์การมหาชน;มูลนิธิบูรณะชนบทแห่งประเทศไทยในพระบรมราชูปถัมภ์;องค์กรสวัสดิการชุมชน;คณะกรรมการส่งเสริมการจัดสวัสดิการสังคมแห่งชาติ;ธนาคารแห่งประเทศไทย;แบงก์ชาติ;สำนักงานธนาคารชาติไทย;สันติประภพ;กรองทอง;กรองทอง;กรองทอง;เสรีไทย;ธนาคารแห่งประเทศไทย;ธนาคารโลก;กองทุนการเงินระหว่างประเทศ;มูลนิธิต่าง ๆ;มูลนิธิอนุเคราะห์คนพิการ;มูลนิธิบูรณะชนบทแห่งประเทศไทย;กรองทอง;กัทลี;กัทลี	ORG
2018	Regulator;ธปท.;บริษัทมือถือ ฟินเทค;ธปท.;ตลท.;ตลท.คุณปริ;ตลท.;ตลท.;บริษัทในอุตสาหกรรมมูลค่าเพิ่ม;ตลท.;กระทรวงศึกษาธิการ;ธปท.;ตลท.;ธปท.;ธปท.;ตลท.;ตลท.;บริษัทจดทะเบียนบจ.;ตลท.;บจ.;บจ.;กองบรรณาธิการBOT;สถาบันวิจัยเศรษฐกิจ;แบงก์ชาติ;มหาวิทยาลัยธรรมศาสตร์;แบงก์ชาติ;อักษรศาสตร์;แบงก์ชาติ;แบงก์ชาติ;แบงก์ชาติ;แบงก์ชาติ;แบงก์ชาติ;แบงก์ชาติ;แบงก์ชาติ;สถาบันวิจัยเศรษฐกิจ	ORG
2019	ธปท.;ธปท.;ธปท.;ธนาคารกลาง;ธนาคารแห่งประเทศไทย;ม.ปลาย;ธนาคารแห่งประเทศไทย;IDP;ธปท.;ธปท.;ธปท.;ธปท.	ORG
2020	ธนาคารโลก;กนง.;กรรมการ;ธปท.;ธนาคารโลก;ธนาคารโลก;เศรษฐพุฒิ;กระทรวงการคลัง;ธปท.;Swarthmore Collegeสหรัฐอเมริกา;Yale University สหรัฐอเมริกา	ORG
2021	กระทรวงพาณิชย์;ธปท.;ธปท.;แบงก์ชาติ;ธปท.;UNCTAD;ศิษย์เก่าแบงก์ชาติ;ธปท.;ธปท.;แบงก์ชาติ	ORG
2022	Where;ธปท.;ก.ล.ต.;แอปเปิล	ORG
2012	น้องสิด พสิษฐ์;น้อง;คุณทักษิณ ชินวัตร;คุณสาลินี วังตาล;พระสยาม;คุณธีระชัย;คุณธีระชัยเป็นคุณกิตติรัตน์;ประสาร ไตรรัตน์วรกุล;ดร.ป๋วย คุณประสารไตรรัตน์วรกุล;ดร.ป๋วย;รองนายกฯ;พระสยามWฤษภาคม;คุณกิตติรัตน์ ณ ระนอง;คุณธีระชัย ภูวนาถนรานุบาล;นายอารีพงศ์ ภู่ชอุ่ม;คุณอาคม เติมพิทยาไพสิฐ;คุณอัชพร จารุจินดา;Andrew Crocket;ผ่องเพ็ญ;คุณผ่องเพ็ญ;พระสยามน;ประสาร ไตรรัตน์วรกุล	PERSON
2013	ยังมี ศิลป์;คุณธีระชัย;คุณธีระชัย;คุณธีระชัย;คุณธีระชัย;คุณธีระชัย;คุณธีระชัย;คุณธีระชัย;Alumni;Wisdomธีระชัย ภูวนาถนรานุบาล;ธีระชัย ภูวนาถนรานุบาล;สุจริตกุล;คุณรพี สุจริตกุล	PERSON
2014	โตมร ศุขปรีชา;อึ้งภากรณ์;ป๋วย;ป๋วย อึ้งภากรณ์;นางเซาะเซ็ง แซ่เตียว;พระสยาม;พระสยาม;พระสยาม;นายสุรชัย พฤกษ์บำรุง;ผม;เฮฮา;น้องเล็ก;นายดุ;นายสอน;นายไม่ดุ;คุณสุรวุฒิ Wฤกษ์บำรุง;สุรวุฒิ พฤกษ์บำรุง;คุณสุชาติ สวัสดิ์ศรี;จอมยุทธ;นันทขว้าง สิรสุนทร;ป๊อปคัลเจอร์;อลัน กรีนสแปน;ธันยวัชร์ ไชยตระกูลชัย;What IT;ทีปกร วุฒิพิทยามงคล	PERSON
